Function,nbCles,Time
AjoutsIteratifs,1000,0.000034
Construction,1000,0.000023
Union,1000,0.000036
AjoutsIteratifs,1000,0.000032
Construction,1000,0.000021
Union,1000,0.000055
AjoutsIteratifs,1000,0.000031
Construction,1000,0.000022
Union,1000,0.000031
AjoutsIteratifs,1000,0.000030
Construction,1000,0.000021
Union,1000,0.000035
AjoutsIteratifs,1000,0.000032
Construction,1000,0.000022
Union,1000,0.000031
AjoutsIteratifs,5000,0.000154
Construction,5000,0.000104
Union,5000,0.000150
AjoutsIteratifs,5000,0.000152
Construction,5000,0.000106
Union,5000,0.000143
AjoutsIteratifs,5000,0.000140
Construction,5000,0.000099
Union,5000,0.000138
AjoutsIteratifs,5000,0.000146
Construction,5000,0.000101
Union,5000,0.000144
AjoutsIteratifs,5000,0.000135
Construction,5000,0.000094
Union,5000,0.000129
AjoutsIteratifs,10000,0.000275
Construction,10000,0.000195
Union,10000,0.000257
AjoutsIteratifs,10000,0.000291
Construction,10000,0.000192
Union,10000,0.000266
AjoutsIteratifs,10000,0.000268
Construction,10000,0.000189
Union,10000,0.000260
AjoutsIteratifs,10000,0.000271
Construction,10000,0.000189
Union,10000,0.000262
AjoutsIteratifs,10000,0.000281
Construction,10000,0.000188
Union,10000,0.000239
AjoutsIteratifs,20000,0.000534
Construction,20000,0.000374
Union,20000,0.000506
AjoutsIteratifs,20000,0.000536
Construction,20000,0.000375
Union,20000,0.000517
AjoutsIteratifs,20000,0.000537
Construction,20000,0.000380
Union,20000,0.000528
AjoutsIteratifs,20000,0.000573
Construction,20000,0.000393
Union,20000,0.000591
AjoutsIteratifs,20000,0.000550
Construction,20000,0.000379
Union,20000,0.000534
AjoutsIteratifs,50000,0.001408
Construction,50000,0.000944
Union,50000,0.001179
AjoutsIteratifs,50000,0.001427
Construction,50000,0.000946
Union,50000,0.001299
AjoutsIteratifs,50000,0.001408
Construction,50000,0.000922
Union,50000,0.001327
AjoutsIteratifs,50000,0.001409
Construction,50000,0.000921
Union,50000,0.001248
AjoutsIteratifs,50000,0.001390
Construction,50000,0.000942
Union,50000,0.001300
AjoutsIteratifs,80000,0.002242
Construction,80000,0.001505
Union,80000,0.001986
AjoutsIteratifs,80000,0.002241
Construction,80000,0.001492
Union,80000,0.002038
AjoutsIteratifs,80000,0.002145
Construction,80000,0.001491
Union,80000,0.002063
AjoutsIteratifs,80000,0.002251
Construction,80000,0.001496
Union,80000,0.002010
AjoutsIteratifs,80000,0.002256
Construction,80000,0.001473
Union,80000,0.002071
AjoutsIteratifs,120000,0.003380
Construction,120000,0.002348
Union,120000,0.003122
AjoutsIteratifs,120000,0.003388
Construction,120000,0.002287
Union,120000,0.003096
AjoutsIteratifs,120000,0.003406
Construction,120000,0.002328
Union,120000,0.003070
AjoutsIteratifs,120000,0.003409
Construction,120000,0.002337
Union,120000,0.003115
AjoutsIteratifs,120000,0.003430
Construction,120000,0.002307
Union,120000,0.003926
AjoutsIteratifs,200000,0.006565
Construction,200000,0.003842
Union,200000,0.004722
AjoutsIteratifs,200000,0.005826
Construction,200000,0.003944
Union,200000,0.005736
AjoutsIteratifs,200000,0.006307
Construction,200000,0.003859
Union,200000,0.005658
AjoutsIteratifs,200000,0.005940
Construction,200000,0.004062
Union,200000,0.005916
AjoutsIteratifs,200000,0.005832
Construction,200000,0.003894
Union,200000,0.005878
