Function,nbCles,Time
Construction,1000,0.000516
Union,1000,0.000001
Construction,1000,0.000471
Union,1000,0.000001
Construction,1000,0.000480
Union,1000,0.000001
Construction,1000,0.000399
Union,1000,0.000000
Construction,1000,0.000411
Union,1000,0.000000
Construction,5000,0.002151
Union,5000,0.000001
Construction,5000,0.001784
Union,5000,0.000001
Construction,5000,0.001583
Union,5000,0.000001
Construction,5000,0.001476
Union,5000,0.000001
Construction,5000,0.001358
Union,5000,0.000001
Construction,10000,0.002725
Union,10000,0.000001
Construction,10000,0.002819
Union,10000,0.000001
Construction,10000,0.002682
Union,10000,0.000002
Construction,10000,0.002619
Union,10000,0.000001
Construction,10000,0.002611
Union,10000,0.000001
Construction,20000,0.005741
Union,20000,0.000003
Construction,20000,0.005475
Union,20000,0.000001
Construction,20000,0.005255
Union,20000,0.000002
Construction,20000,0.005358
Union,20000,0.000001
Construction,20000,0.005524
Union,20000,0.000001
Construction,50000,0.013186
Union,50000,0.000005
Construction,50000,0.013258
Union,50000,0.000003
Construction,50000,0.013630
Union,50000,0.000005
Construction,50000,0.013865
Union,50000,0.000003
Construction,50000,0.013968
Union,50000,0.000004
Construction,80000,0.022547
Union,80000,0.000005
Construction,80000,0.021720
Union,80000,0.000005
Construction,80000,0.021935
Union,80000,0.000005
Construction,80000,0.021996
Union,80000,0.000005
Construction,80000,0.022531
Union,80000,0.000004
Construction,120000,0.034173
Union,120000,0.000006
Construction,120000,0.033409
Union,120000,0.000006
Construction,120000,0.033365
Union,120000,0.000004
Construction,120000,0.032516
Union,120000,0.000008
Construction,120000,0.032811
Union,120000,0.000009
Construction,200000,0.055696
Union,200000,0.000006
Construction,200000,0.055561
Union,200000,0.000004
Construction,200000,0.054184
Union,200000,0.000003
Construction,200000,0.054998
Union,200000,0.000010
Construction,200000,0.054166
Union,200000,0.000009
