Function,nbCles,Time
TasArbre_Construction,1000,0.008328
TasArbre_Construction,1000,0.006736
TasArbre_Construction,1000,0.005984
TasArbre_Construction,1000,0.005266
TasArbre_Construction,1000,0.004973
TasArbre_Construction,5000,0.060958
TasArbre_Construction,5000,0.050446
TasArbre_Construction,5000,0.047935
TasArbre_Construction,5000,0.047158
TasArbre_Construction,5000,0.047765
TasArbre_Construction,10000,0.188467
TasArbre_Construction,10000,0.189583
TasArbre_Construction,10000,0.195834
TasArbre_Construction,10000,0.189638
TasArbre_Construction,10000,0.189527
TasArbre_Construction,20000,0.766105
TasArbre_Construction,20000,0.765324
TasArbre_Construction,20000,0.763340
TasArbre_Construction,20000,0.762975
TasArbre_Construction,20000,0.762040
TasArbre_Construction,50000,4.890180
TasArbre_Construction,50000,4.838484
TasArbre_Construction,50000,5.020185
TasArbre_Construction,50000,4.885868
TasArbre_Construction,50000,4.864216
TasArbre_Construction,80000,12.268806
TasArbre_Construction,80000,12.262177
TasArbre_Construction,80000,12.299699
TasArbre_Construction,80000,12.405992
TasArbre_Construction,80000,12.489464
TasArbre_Construction,120000,33.016743
TasArbre_Construction,120000,32.963017
TasArbre_Construction,120000,33.446266
TasArbre_Construction,120000,33.027039
TasArbre_Construction,120000,33.022257
TasArbre_Construction,200000,79.092830
TasArbre_Construction,200000,78.989908
TasArbre_Construction,200000,78.745010
TasArbre_Construction,200000,79.234277
TasArbre_Construction,200000,79.511599
